Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
5,7,28,33.8,24.3,18.4,2021-05-07
5,8,27.4,32.4,25,10.6,2021-05-08
5,9,29,32,26.6,1.4,2021-05-09
5,10,29.9,33.3,27.8,0,2021-05-10
5,11,29,33.6,26.6,0,2021-05-11
5,12,28.2,31.6,26.5,0.4,2021-05-12
5,13,29.2,32.6,26.3,0,2021-05-13
5,14,28.4,31,26.4,1.6,2021-05-14
5,15,29.5,33.1,26.8,12.2,2021-05-15
5,16,28.6,31.5,23,20.2,2021-05-16
5,17,28.6,30.8,27.1,0,2021-05-17
5,18,26.7,29.2,23.7,22.2,2021-05-18
5,19,27.2,30,23.2,7.2,2021-05-19
5,20,27.5,32.4,23.6,3.4,2021-05-20
5,21,27.7,32.4,26,0,2021-05-21
5,22,28.7,32.1,26,2,2021-05-22
5,23,27.1,30.7,24.8,3,2021-05-23
5,24,28.4,32.6,25,0,2021-05-24
5,25,29.3,32.6,26.4,0,2021-05-25
5,26,28.8,32.4,26.8,0,2021-05-26
5,27,28,30.7,25.7,0.8,2021-05-27
5,28,28.8,32.6,26,2.6,2021-05-28
5,29,28.5,32.7,25,17.8,2021-05-29
5,30,27.9,31.5,26,0,2021-05-30
5,31,29,31.5,26.5,0,2021-05-31
6,1,28.1,31.9,24.2,18,2021-06-01
6,2,28.7,31.2,26.6,0,2021-06-02
6,3,29.4,32.2,27.6,0,2021-06-03
6,4,27.7,28.7,25.6,6.6,2021-06-04
6,5,27,30.5,25.3,8.8,2021-06-05
6,6,27.4,31.2,25.6,4.2,2021-06-06
6,7,29,32.2,26.2,0,2021-06-07
6,8,29.7,32.6,27.5,0,2021-06-08
6,9,29.4,32.7,27.7,0,2021-06-09
6,10,29.2,33,26.1,1.6,2021-06-10
6,11,29.9,32.9,27.2,0,2021-06-11
6,12,29.2,32.5,23,4.4,2021-06-12
6,13,29.7,32.8,27.4,0,2021-06-13
6,14,27.6,30.3,23,18.8,2021-06-14
6,15,29.4,32.3,27.4,0,2021-06-15
6,16,30.1,32.8,28.3,0,2021-06-16
6,17,30.3,33,28.2,0,2021-06-17
6,18,28.9,32.3,23.9,2.4,2021-06-18
6,19,29,32.9,24.5,3.2,2021-06-19
6,20,30.4,33.3,28.3,0,2021-06-20
6,21,30.6,33.6,28.2,0,2021-06-21
6,22,29.8,33.4,26.7,0,2021-06-22
6,23,29.7,33.2,27.5,0,2021-06-23
6,24,29.3,32.1,25.2,1,2021-06-24
6,25,28.6,30.7,25.2,0,2021-06-25
6,26,29.4,32,27.4,0,2021-06-26
6,27,28,29.8,26.2,0,2021-06-27
6,28,28.8,32.2,26.9,0,2021-06-28
6,29,29.2,32.4,27,0,2021-06-29
6,30,27.6,31,24.6,2.4,2021-06-30
7,1,28.2,32.6,25.9,0,2021-07-01
7,2,28.7,31.6,26,0,2021-07-02
7,3,28.6,31.2,26.8,0.2,2021-07-03
7,4,28.1,29.9,23.9,19.4,2021-07-04
7,5,27.9,30.7,24.3,0.8,2021-07-05
7,6,28.7,31.5,25.2,2.2,2021-07-06
7,7,28.5,31.5,24.4,3.6,2021-07-07
7,8,28,31.7,22.7,12.6,2021-07-08
7,9,27.3,28.3,22.6,12.6,2021-07-09
7,10,28.7,32.1,26.9,0.2,2021-07-10
7,11,28,32,24.1,26.8,2021-07-11
7,12,27.7,31.1,25.3,0,2021-07-12
7,13,29,32.1,26.7,0,2021-07-13
7,14,29.8,32.5,27.6,0,2021-07-14
7,15,29.6,32.2,28.4,0,2021-07-15
7,16,29.4,32.4,27.4,0,2021-07-16
7,17,28.1,30.1,23.4,7.8,2021-07-17
7,18,29.1,31.4,27.2,0,2021-07-18
7,19,28.8,31.1,26.7,0.6,2021-07-19
7,20,29.3,32.2,26.7,0,2021-07-20
7,21,29.5,31.9,27.4,0,2021-07-21
7,22,29.6,32.4,27.8,0,2021-07-22
7,23,29.8,32.3,27.9,0,2021-07-23
7,24,29.6,31.8,27.7,0,2021-07-24
7,25,29.7,33.2,27.4,0,2021-07-25
7,26,29.9,33.1,28.1,0,2021-07-26
7,27,28.2,31,23.2,27.8,2021-07-27
7,28,29,31.9,27.2,0,2021-07-28
7,29,27.6,32,21.1,29,2021-07-29
7,30,27.8,31.4,24.7,4,2021-07-30
7,31,27.6,29.2,24.7,1,2021-07-31
8,1,28.7,31.2,27.1,0,2021-08-01
8,2,28.6,31.6,23.5,11.8,2021-08-02
8,3,28.6,31.1,26.3,0,2021-08-03
8,4,28.5,30.5,25.2,1.2,2021-08-04
8,5,26.5,28.5,23.9,7.4,2021-08-05
8,6,27.7,29.8,25.9,0.4,2021-08-06
8,7,27.5,30.8,23.6,9.2,2021-08-07
8,8,27.6,29.7,24.9,2,2021-08-08
8,9,28.6,31.7,26.7,0,2021-08-09
8,10,28.2,31.6,27,0,2021-08-10
8,11,28.1,30.8,26.6,0,2021-08-11
8,12,26.7,28.5,25.1,1.4,2021-08-12
8,13,26.2,27.2,25,2.4,2021-08-13
8,14,26.8,29.4,23.5,41.2,2021-08-14
8,15,26.6,29,25.5,0.6,2021-08-15
8,16,28.1,30.7,25.7,0,2021-08-16
